Marital status,Application mode,Application order,Course,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Displaced,Educational special needs,Tuition fees up to date,Gender,Scholarship holder,Target,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations)
2,39,1,9853,10,1,37,34,0,0,0,1,0,0,Dropout,133.1,115.5,23,0,6,12,3,12.666666666666666,0,0,6,14,0,10.230205722716985,0
2,39,1,8014,1,1,37,19,9,0,0,1,0,0,GraduateANDEnrolled,133.1,114.0,23,0,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0
1,15,1,9119,1,26,38,3,9,1,0,1,1,0,GraduateANDEnrolled,130.0,137.0,19,0,5,9,5,14.0,0,0,5,11,3,13.25,0
1,1,5,9773,1,1,37,1,5,1,0,1,0,0,GraduateANDEnrolled,135.0,124.9,18,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0
1,1,5,9500,1,1,37,37,7,1,0,1,0,1,GraduateANDEnrolled,132.0,120.3,18,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0
1,1,1,9085,1,1,1,2,9,1,0,1,0,0,GraduateANDEnrolled,135.0,134.3,19,0,5,7,5,14.2,0,0,5,7,5,13.8,0
1,1,4,9500,1,1,3,3,2,1,0,0,0,0,Dropout,115.0,111.5,19,0,7,10,4,11.96,0,0,7,7,0,10.230205722716985,0
1,53,1,9085,42,1,38,38,9,0,0,1,0,0,Dropout,130.0,128.8,21,0,10,12,8,12.875,0,0,9,14,5,13.4,0
1,1,4,171,1,1,1,1,9,1,0,1,0,0,GraduateANDEnrolled,133.1,110.0,20,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
2,39,1,8014,1,1,37,37,6,1,0,1,0,0,Dropout,130.0,113.5,23,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
4,39,1,9003,12,1,37,37,9,0,0,1,0,0,GraduateANDEnrolled,133.1,160.0,23,0,6,8,4,14.63157894736842,0,0,6,14,4,14.23076923076923,0
1,18,1,9853,1,1,19,19,9,1,0,1,0,0,Dropout,123.0,117.4,19,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,51,1,9070,1,1,3,1,2,0,0,1,0,0,GraduateANDEnrolled,130.0,122.2,20,0,10,12,10,13.0,0,0,6,11,11,12.272727272727272,0
1,1,2,9238,1,1,37,38,4,1,0,1,0,0,Dropout,122.0,118.2,19,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,1,1,9085,1,1,1,1,4,1,0,1,0,0,Dropout,113.0,106.7,20,0,6,15,4,14.2,0,0,6,8,4,13.25,0
1,1,5,9500,1,1,3,4,4,1,0,1,0,0,Dropout,111.0,108.2,20,0,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0
1,17,2,9853,1,1,19,1,9,1,0,1,0,0,GraduateANDEnrolled,133.1,107.0,20,0,7,12,6,11.666666666666666,0,0,7,10,3,13.0,0
1,1,1,9238,1,1,37,37,6,1,0,1,0,0,GraduateANDEnrolled,142.0,136.1,18,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0
1,17,2,9147,1,1,1,38,4,1,0,1,0,1,GraduateANDEnrolled,123.0,115.3,18,0,5,9,3,13.0,0,0,5,11,3,11.0,0
1,1,1,9085,1,1,19,19,9,1,0,1,0,0,GraduateANDEnrolled,131.0,139.8,19,0,5,6,5,13.4,0,0,5,5,5,12.8,0
1,1,3,9773,1,1,1,38,4,1,0,1,0,0,GraduateANDEnrolled,158.0,157.0,18,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0
1,17,2,9500,1,1,37,37,9,1,0,1,0,0,Dropout,122.0,131.0,18,0,7,7,6,12.516666666666666,0,0,7,7,6,12.516666666666666,0
1,43,1,9500,1,1,38,38,9,0,0,1,0,0,GraduateANDEnrolled,130.0,100.0,20,0,7,11,6,11.616666666666667,0,0,7,7,7,13.0,0
1,17,1,9238,1,1,19,37,9,1,0,1,0,1,GraduateANDEnrolled,154.0,140.4,20,0,6,13,2,10.0,0,0,6,12,4,10.75,0
1,17,1,9147,1,1,19,19,3,0,0,1,0,0,GraduateANDEnrolled,120.0,113.4,20,0,5,11,3,10.333333333333334,0,0,5,10,3,10.666666666666666,0
1,1,2,9085,1,1,37,38,9,0,0,1,0,0,GraduateANDEnrolled,140.0,137.0,18,0,5,12,5,13.142857142857142,0,0,5,6,5,11.4,0
1,1,1,9147,1,1,2,19,4,0,0,1,0,0,GraduateANDEnrolled,127.0,121.8,18,0,5,5,5,12.6,0,0,5,5,5,14.0,0
1,17,1,9254,1,1,1,1,4,1,0,1,0,0,Dropout,133.1,131.0,21,0,6,12,3,11.0,0,0,6,12,2,11.0,0
1,1,2,9147,1,1,19,19,9,1,0,1,0,0,GraduateANDEnrolled,120.0,118.6,19,0,5,8,5,10.8,0,0,5,9,4,11.25,0
1,1,1,171,1,1,3,19,2,0,0,1,0,0,Dropout,137.0,122.3,19,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,1,1,9670,1,1,38,38,9,0,0,1,0,1,GraduateANDEnrolled,131.0,127.9,19,0,5,5,5,12.8,0,0,5,5,5,14.2,0
1,1,1,9085,1,1,19,38,4,1,0,1,0,0,GraduateANDEnrolled,130.0,121.3,19,0,6,15,6,14.166666666666666,0,0,6,13,6,12.2,0
1,17,6,9556,1,1,1,1,4,1,0,1,0,0,Dropout,122.0,117.1,19,0,7,12,5,12.1,0,0,7,0,0,10.230205722716985,0
1,44,1,9085,39,1,37,37,9,1,0,1,0,0,GraduateANDEnrolled,160.0,160.0,20,0,6,7,6,14.166666666666666,0,0,6,8,5,13.77777777777778,0
1,1,1,9853,1,1,19,38,9,1,0,1,0,1,GraduateANDEnrolled,146.0,145.3,18,0,6,8,5,12.8,0,0,6,7,5,13.4,0
1,17,3,9238,1,1,1,39,5,1,0,1,0,0,GraduateANDEnrolled,131.0,122.6,18,0,6,7,6,13.0,0,0,6,6,6,13.666666666666666,0
1,17,6,9500,1,1,1,37,8,1,0,1,0,0,GraduateANDEnrolled,132.0,128.0,19,0,7,7,7,13.467142857142855,0,0,8,9,8,15.011111111111113,0
1,1,3,9500,1,1,19,19,5,1,0,1,0,1,Dropout,138.0,124.9,18,0,7,9,7,13.2375,0,0,8,9,7,13.742857142857144,0
1,17,2,9070,1,1,37,37,9,1,0,1,0,0,GraduateANDEnrolled,130.0,123.7,18,0,6,6,6,12.333333333333334,0,0,6,6,6,13.0,0
1,1,4,9147,1,1,1,19,4,1,0,1,0,0,GraduateANDEnrolled,126.0,120.1,19,0,5,7,5,12.4,0,0,5,5,5,14.6,0
1,17,6,9500,1,1,1,19,3,1,0,1,0,0,Dropout,148.0,131.7,19,0,7,8,5,14.0,0,0,7,7,0,10.230205722716985,0
1,43,1,9238,1,1,38,37,9,0,0,1,0,0,GraduateANDEnrolled,130.0,133.2,20,0,9,15,9,11.666666666666666,0,0,7,8,7,11.714285714285714,0
1,1,1,9670,1,1,1,38,3,0,0,0,0,1,Dropout,117.0,109.3,19,0,6,7,5,12.0,0,0,6,9,4,12.5,0
1,17,1,9670,1,1,19,19,5,1,0,1,0,0,GraduateANDEnrolled,120.0,113.0,20,0,5,7,4,12.2,0,0,5,5,4,11.5,0
1,1,1,9773,1,1,1,1,141,0,0,1,0,1,GraduateANDEnrolled,153.0,157.9,18,0,6,6,6,14.833333333333334,0,0,6,6,6,14.833333333333334,0
1,1,2,9500,1,1,19,1,4,0,0,1,0,1,GraduateANDEnrolled,117.0,112.1,20,0,7,9,5,13.188,0,0,8,9,7,12.892857142857142,0
1,18,1,9500,1,1,19,1,4,0,0,1,0,0,GraduateANDEnrolled,132.6133137432188,126.97811934900544,18,0,7,8,7,10.640821575154185,0,0,8,8,8,10.230205722716985,0
1,1,5,9500,1,1,37,37,9,1,0,1,0,0,GraduateANDEnrolled,129.0,128.8,19,0,7,7,6,12.666666666666666,0,0,7,7,6,12.666666666666666,0
1,1,6,9773,1,1,19,1,4,1,0,1,0,1,GraduateANDEnrolled,116.0,110.1,19,0,6,8,6,12.666666666666666,0,0,6,10,5,12.0,0
1,51,1,9147,1,1,3,1,3,1,0,0,0,0,GraduateANDEnrolled,132.6133137432188,99.7,22,0,5,8,0,10.640821575154185,0,0,5,7,0,10.230205722716985,0
1,1,3,9238,1,1,1,12,9,1,0,1,0,1,GraduateANDEnrolled,135.0,121.0,19,0,6,7,6,11.333333333333334,0,0,6,6,6,11.5,0
1,1,3,9500,1,1,19,19,9,1,0,1,0,1,GraduateANDEnrolled,141.0,131.7,19,0,7,10,7,13.605,0,0,8,11,8,12.33125,0
1,17,5,9853,1,1,37,38,5,1,0,1,0,1,GraduateANDEnrolled,132.0,119.1,19,0,6,10,5,12.0,0,0,6,9,5,10.8,0
1,1,4,9254,1,1,12,19,9,1,0,1,0,0,Dropout,132.0,124.7,19,0,5,10,0,10.640821575154185,0,0,5,10,0,10.230205722716985,0
1,17,1,9254,1,1,1,37,9,1,0,1,0,0,Dropout,113.0,117.2,20,0,6,8,5,11.2,0,0,6,12,3,11.666666666666666,0
1,1,1,9147,1,1,3,19,2,0,0,1,0,0,GraduateANDEnrolled,134.0,128.8,18,0,5,10,5,13.375,0,0,5,9,5,14.166666666666666,0
1,1,1,9500,1,1,1,19,9,0,0,1,0,1,GraduateANDEnrolled,136.0,131.5,20,0,7,8,6,13.863333333333337,0,0,8,9,7,14.178571428571429,0
1,1,1,171,1,1,3,37,2,1,0,1,0,0,GraduateANDEnrolled,136.0,121.7,18,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,1,1,9085,1,1,1,38,4,0,0,1,0,0,GraduateANDEnrolled,129.0,123.4,19,0,5,6,5,12.4,0,0,5,6,5,13.4,0
1,17,1,9853,1,1,38,38,7,1,0,1,0,0,GraduateANDEnrolled,138.0,124.7,18,0,6,11,3,12.333333333333334,0,0,6,10,5,10.833333333333334,0
1,1,1,9853,1,1,37,37,9,1,0,1,0,0,GraduateANDEnrolled,137.0,132.8,18,0,6,7,6,13.333333333333334,0,0,6,8,5,11.8,0
1,43,1,9853,1,1,3,37,2,1,0,1,0,0,Dropout,115.0,108.7,21,0,6,10,3,12.666666666666666,0,0,6,12,3,10.0,0
1,1,1,9853,1,1,38,37,6,0,0,1,0,0,Dropout,129.0,138.1,19,0,6,8,6,12.0,0,0,6,10,4,11.5,0
1,1,1,9147,1,1,38,38,9,0,0,1,0,1,GraduateANDEnrolled,131.0,126.5,18,0,5,5,5,10.6,0,0,5,5,5,11.8,0
1,17,2,9238,1,1,1,37,7,1,0,1,0,1,GraduateANDEnrolled,133.0,127.4,18,0,6,8,6,12.25,0,0,6,7,6,11.857142857142858,0
1,1,3,9238,1,1,19,1,9,1,0,1,0,0,GraduateANDEnrolled,125.0,123.6,20,0,6,10,4,11.0,0,0,6,9,6,11.833333333333334,0
1,39,1,8014,1,1,1,19,6,0,0,1,0,1,GraduateANDEnrolled,120.0,122.0,24,0,6,11,5,11.0,0,0,6,9,5,12.6,0
1,1,1,9670,1,1,19,1,4,0,0,1,0,0,Dropout,128.0,118.2,19,0,6,6,6,13.166666666666666,0,0,6,9,6,13.0,0
1,1,1,9500,1,1,19,37,9,1,0,1,0,1,GraduateANDEnrolled,127.0,123.9,18,0,7,9,7,12.855555555555554,0,0,8,12,7,12.761111111111113,0
1,1,2,9500,1,1,19,19,9,1,0,1,0,0,GraduateANDEnrolled,134.0,125.8,18,0,7,8,7,14.91875,0,0,8,8,8,15.355,0
1,17,5,9853,1,1,12,12,4,1,0,1,0,0,Dropout,132.0,123.3,21,0,6,13,4,11.5,0,0,6,10,3,11.0,0
1,17,2,9670,1,1,1,19,5,0,0,1,0,0,GraduateANDEnrolled,124.0,124.4,19,0,5,5,5,14.2,0,0,5,5,5,14.2,0
